region;period;sector;value;unit;value_pCap;unit_pCap
ECE;2025;trn_freight;594.902258048607;billion tkm/yr;10548.7435578897;tkm/yr pCap
ECE;2025;trn_pass;732.964704647086;billion pkm/yr;12996.8521747899;pkm/yr pCap
ECE;2025;trn_shipping_intl;329.285746385729;billion tkm/yr;5838.85982763835;tkm/yr pCap
ECE;2030;trn_aviation_intl;73.3538149044326;billion pkm/yr;1329.32422754535;pkm/yr pCap
ECE;2030;trn_freight;617.345757084459;billion tkm/yr;11187.5936205073;tkm/yr pCap
ECE;2030;trn_pass;777.410995669701;billion pkm/yr;14088.3098261525;pkm/yr pCap
ECE;2030;trn_shipping_intl;339.211198700423;billion tkm/yr;6147.21491001725;tkm/yr pCap
ECE;2035;trn_aviation_intl;96.099197187527;billion pkm/yr;1780.2290393277;pkm/yr pCap
ECE;2035;trn_freight;624.954825306549;billion tkm/yr;11577.2322853816;tkm/yr pCap
ECE;2035;trn_pass;801.53157723243;billion pkm/yr;14848.3008338025;pkm/yr pCap
ECE;2035;trn_shipping_intl;345.647447281737;billion tkm/yr;6403.08806971286;tkm/yr pCap
ECE;2040;trn_aviation_intl;114.039969808372;billion pkm/yr;2158.32382385525;pkm/yr pCap
ECE;2040;trn_freight;626.839084370321;billion tkm/yr;11863.5749535313;tkm/yr pCap
ECE;2040;trn_pass;817.796876495088;billion pkm/yr;15477.647745608;pkm/yr pCap
ECE;2040;trn_shipping_intl;350.462408696727;billion tkm/yr;6632.86185823164;tkm/yr pCap
ECE;2045;trn_aviation_intl;125.49273851592;billion pkm/yr;2423.08868703205;pkm/yr pCap
